VISA Consumer Credit,Enabled,United Kingdom,United Kingdom,DOMESTIC,GBP,GBP,5321,EMV Chip (incl. Contactless),2742
MC Consumer Debit,Disabled,Spain,United Kingdom,INTRA,EUR,GBP,4854,EMV Chip (incl. Contactless),729
VISA Commercial Purchase,Enabled,Germany,Italy,INTRA,EUR,EUR,7019,Electronic Commerce,348
MC Commercial Business,Disabled,France,France,DOMESTIC,EUR,EUR,4283,Electronic Commerce,7263
VISA Commercial Corporate,Enabled,Liechtenstein,Latvia,INTRA,EUR,EUR,9776,EMV Chip (inc. Contactless),965903
VISA Consumer Credit,Enabled,Czech Republic,Norway,INTRA,EUR,EUR,5865,Electronic Commerce,488153
MC Commercial Business,Enabled,Slovakia,Czech Republic,INTRA,EUR,EUR,8268,Electronic Commerce,620
VISA Commercial Corporate,Enabled,Iceland,Hungary,INTRA,EUR,EUR,8320,Electronic Commerce,1700
MC Commercial Business,Disabled,Estonia,Estonia,DOMESTIC,EUR,EUR,7987,Electronic Commerce,3662
VISA Consumer Debit,Disabled,Lithuania,Ireland,INTRA,EUR,EUR,5802,EMV Chip (inc. Contactless),19
VISA Commercial Credit,Enabled,France,Portugal,INTRA,EUR,EUR,5805,Electronic Commerce,5435
VISA Consumer Debit,Enabled,Sweden,Bulgaria,INTRA,EUR,EUR,9071,Electronic Commerce,83
VISA Commercial Business,Disabled,Slovenia,Slovenia,DOMESTIC,EUR,EUR,8210,Electronic Commerce,87
VISA Commercial Business,Disabled,Czech Republic,Austria,INTRA,EUR,EUR,7010,Electronic Commerce,72024
VISA Commercial Credit,Enabled,Poland,Slovakia,INTRA,EUR,EUR,5868,EMV Chip (inc. Contactless),46185
VISA Commercial Credit,Disabled,Greece,Iceland,INTRA,EUR,EUR,8012,Electronic Commerce,144118
MC Consumer Debit,Enabled,Norway,Malta,INTRA,EUR,EUR,7021,EMV Chip (inc. Contactless),21337
VISA Consumer Credit,Disabled,Spain,Malta,INTRA,EUR,EUR,8217,Electronic Commerce,759367
MC Consumer Credit,Enabled,Switzerland,Switzerland,DOMESTIC,EUR,EUR,4661,EMV Chip (inc. Contactless),3002
MC Commercial Purchase,Disabled,Greece,Croatia,INTRA,EUR,EUR,5990,Electronic Commerce,34014
